D;3000.0;77.5
D;3000.0;80.0
D;4000.0;82.5
D;4000.0;84.5
D;4000.0;86.7
D;3000.0;87.5
D;4000.0;90.0
D;5000.0;90.5
D;4000.0;92.5
D;5000.0;97.5
D;4000.0;100.0
D;10000.0;100.0
D;4000.0;102.5
D;5000.0;104.5
D;5000.0;106.7
D;5000.0;107.5
D;5000.0;110.0
D;5000.0;117.5
D;5000.0;120.0
DK;25.0;2.45
DK;25.0;3.85
DK;25.0;7.2
DK;25.0;7.2
DK;25.0;13.91
DK;200.0;14.31
DK;200.0;17.66
DK;200.0;17.66
DK;200.0;24.37
DK;500.0;55.31
DK;500.0;66.7
DK;500.0;89.5
DK;5000.0;101.57
DK;500.0;121.68
EE;25.0;1.9
EE;100.0;3.85
EE;25.0;4.05
EE;100.0;6.0
EE;25.0;6.7
EE;100.0;8.75
EE;25.0;10.5
EE;100.0;13.5
EE;25.0;14.9
EE;100.0;17.3
EE;1000.0;17.5
EE;1000.0;19.0
EE;1000.0;20.5
EE;1000.0;22.0
EE;1000.0;23.5
EE;1000.0;25.0
EE;1000.0;26.5
EE;1000.0;28.0
EE;1000.0;29.5
EE;1000.0;31.0
ES;25.0;1.85
ES;25.0;2.75
ES;200.0;4.9
ES;200.0;5.6
ES;25.0;6.8
ES;25.0;6.8
ES;200.0;9.65
ES;200.0;9.65
ES;25.0;13.1
ES;25.0;20.7
ES;225.0;31.56
ES;225.0;34.8
ES;500.0;34.86
ES;500.0;36.56
ES;500.0;39.8
ES;1000.0;39.86
ES;1000.0;41.56
ES;500.0;43.7
ES;225.0;44.52
ES;1000.0;44.8
ES;1500.0;44.86
ES;50000.0;47.0
ES;1000.0;48.7
ES;500.0;49.52
ES;2000.0;49.86
ES;500.0;50.26
ES;2000.0;51.56
ES;500.0;53.04
ES;1500.0;53.7
ES;1000.0;54.52
ES;2000.0;54.8
ES;2500.0;54.86
ES;1000.0;55.26
ES;1000.0;58.04
ES;2000.0;58.7
ES;3000.0;59.86
ES;1500.0;60.26
ES;225.0;60.72
ES;500.0;61.38
ES;3000.0;61.56
ES;1500.0;63.04
ES;2500.0;63.7
ES;2000.0;64.52
ES;3000.0;64.8
ES;2000.0;65.26
ES;500.0;65.72
ES;1000.0;66.38
ES;2000.0;68.04
ES;3000.0;68.7
ES;2500.0;70.26
ES;1000.0;70.72
ES;1500.0;71.38
ES;2500.0;73.04
ES;3000.0;74.52
ES;3000.0;75.26
ES;500.0;75.28
ES;2000.0;76.38
ES;225.0;76.92
ES;3000.0;78.04
ES;1000.0;80.28
ES;2000.0;80.72
ES;2500.0;81.38
ES;500.0;81.92
ES;1500.0;85.28
ES;3000.0;86.38
ES;1000.0;86.92
ES;2000.0;90.28
ES;3000.0;90.72
ES;2500.0;95.28
ES;2000.0;96.92
ES;3000.0;100.0
ES;3000.0;100.28
ES;3000.0;106.92
ES;20000.0;200.0
FI;25.0;1.6
FI;25.0;2.2
FI;25.0;3.1
FI;25.0;4.6
FI;25.0;7.3
FI;25.0;9.0
FI;90.0;11.1
FI;90.0;11.7
FI;90.0;12.4
FI;25.0;13.5
FI;25.0;13.9
FI;25.0;13.9
FI;90.0;13.9
FI;90.0;16.6
FI;90.0;18.3
FI;25.0;19.5
FI;90.0;22.8
FI;90.0;23.2
FI;90.0;23.2
FI;25.0;23.5
FI;5000.0;25.8
FI;5000.0;26.4
FI;5000.0;27.1
FI;100.0;28.0
FI;25.0;28.3
FI;5000.0;28.6
FI;90.0;28.8
FI;5000.0;31.3
FI;90.0;32.8
FI;5000.0;33.0
FI;100.0;36.0
FI;5000.0;37.5
FI;90.0;37.6
FI;5000.0;37.9
FI;25.0;38.5
FI;5000.0;43.5
FI;100.0;47.3
FI;5000.0;47.5
FI;90.0;47.8
FI;5000.0;52.3
FI;5000.0;62.5
FI;1680.0;63.0
FI;100.0;73.0
FI;1680.0;83.0
FI;1680.0;109.0
FI;150.0;116.0
FI;1680.0;135.0
FI;1680.0;207.0
FR;25.0;1.3
FR;25.0;2.5
FR;25.0;5.5
FR;45.0;6.5
FR;45.0;7.5
FR;300.0;7.5
FR;25.0;8.5
FR;300.0;8.5
FR;45.0;9.5
FR;300.0;10.5
FR;45.0;13.5
FR;150.0;14.15
FR;25.0;14.5
FR;300.0;14.5
FR;300.0;15.15
FR;150.0;16.85
FR;600.0;17.15
FR;300.0;17.85
FR;45.0;18.0
FR;150.0;18.5
FR;300.0;19.0
FR;900.0;19.15
FR;45.0;19.5
FR;300.0;19.5
FR;600.0;19.85
FR;300.0;20.5
FR;600.0;21.5
FR;900.0;21.85
FR;1500.0;23.15
FR;150.0;23.2
FR;900.0;23.5
FR;300.0;24.2
FR;1500.0;25.85
FR;600.0;26.2
FR;1500.0;27.5
FR;900.0;28.2
FR;1500.0;32.2
FR;150.0;37.0
FR;300.0;38.0
FR;600.0;40.0
FR;900.0;42.0
FR;1500.0;46.0
FR;150.0;60.0
FR;300.0;61.0
FR;600.0;63.0
FR;900.0;65.0
FR;1500.0;69.0
FR;10000.0;100.0
GB;25.0;1.58
GB;25.0;2.44
GB;25.0;4.9
GB;25.0;5.54
GB;25.0;7.52
GB;25.0;7.52
GB;60.0;8.16
GB;60.0;8.82
GB;25.0;9.24
GB;60.0;10.84
